Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Joel Embiid,2m13,22,31,20.2,7.8,2.1
Ersan Ilyasova,2m05,29,53,14.8,5.9,1.8
Robert Covington,2m06,26,67,12.9,6.5,1.5
Dario Saric,2m07,22,81,12.8,6.3,2.2
Jahlil Okafor,2m11,21,50,11.8,4.8,1.2
Jerryd Bayless,1m88,28,3,11,4,4.3
Alex Poythress,2m06,23,6,10.7,4.7,0.8
Richaun Holmes,2m06,23,57,9.8,5.5,1
Nik Stauskas,1m98,23,80,9.5,2.8,2.4
Gerald Henderson,1m93,29,72,9.2,2.6,1.6
Nerlens Noel,2m11,22,29,8.9,5,1
Shawn Long,2m08,23,17,8.7,5,0.8
Justin Anderson,1m98,23,24,8.5,4,1.4
Jerami Grant,2m03,22,2,8,3.5,0
Sergio Rodriguez,1m91,30,68,7.8,2.3,5.1
T.J. McConnell,1m86,24,81,6.9,3.1,6.6
Timothe Luwawu-Cabarrot,1m98,21,69,6.4,2.2,1.1
Hollis Thompson,2m02,25,31,5.5,2.7,0.8
Chasson Randle,1m88,23,8,5.3,0.6,0.8
Tiago Splitter,2m10,31,8,4.9,2.8,0.5
Justin Harper,2m10,27,3,4,1.7,0.7
