Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Tyreke Evans,1m98,20,72,20.1,5.3,5.8
Kevin Martin,1m95,26,22,19.8,4.3,2.6
Carl Landry,2m00,26,28,18,6.5,0.9
Beno Udrih,1m92,27,79,12.9,2.8,4.7
Jason Thompson,2m11,23,75,12.5,8.5,1.7
Omri Casspi,2m06,21,77,10.3,4.5,1.2
Spencer Hawes,2m13,21,72,10,6.1,2.2
Donte Greene,2m06,21,76,8.5,3.1,0.9
Andres Nocioni,2m03,30,75,8.5,3,1
Francisco Garcia,2m01,28,25,8.1,2.6,1.8
Sergio Rodriguez,1m91,23,39,6,1.3,3.1
Ime Udoka,1m98,32,67,3.7,2.9,0.9
Sean May,2m07,25,37,3.3,1.9,0.5
Jon Brockman,2m00,22,52,2.8,4.1,0.4
Desmond Mason,1m99,32,5,2.6,2.6,0.4
Garrett Temple,1m95,23,5,2.2,0.6,0.4
Hilton Armstrong,2m08,25,6,1.7,2.3,0.3
Kenny Thomas,2m04,32,26,1.6,3.3,0.6
Joey Dorsey,2m05,26,8,1.5,2.3,0
Dominic McGuire,2m10,24,10,0.8,1.8,0.3
