Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
David Lee,2m06,26,81,20.2,11.7,3.6
Al Harrington,2m07,29,72,17.7,5.6,1.5
Wilson Chandler,2m03,22,65,15.3,5.4,2.1
Danilo Gallinari,2m04,21,81,15.1,4.9,1.7
Nate Robinson,1m76,25,30,13.2,2.4,3.7
Henry Walker,1m98,22,27,11.9,3.1,1.4
Earl Barron,2m11,28,7,11.7,11,1.1
Larry Hughes,1m96,30,31,9.6,3.5,3.5
Tracy McGrady,2m04,30,24,9.4,3.7,3.9
Toney Douglas,1m89,23,56,8.6,1.9,2
Sergio Rodriguez,1m91,23,27,7.4,1.4,3.4
Chris Duhon,1m85,27,67,7.4,2.7,5.6
Eddie House,1m86,31,18,6.4,2.2,2.1
Jared Jeffries,2m10,28,52,5.5,4.3,1.6
Jonathan Bender,2m12,28,25,4.7,2.1,0.6
Justin Ray Giddens,1m96,24,11,4.1,2.8,0.6
Jordan Hill,2m08,22,24,4,2.5,0.3
Eddy Curry,2m11,27,7,3.7,1.9,0
Marcus Landry,2m00,24,17,2.6,1.1,0
Darko Milicic,2m12,24,8,2,2.3,0.5
