Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Brandon Roy,1m98,23,74,19.1,4.7,5.8
LaMarcus Aldridge,2m08,22,76,17.8,7.6,1.6
Travis Outlaw,2m07,23,82,13.3,4.6,1.3
Martell Webster,2m01,21,75,10.7,3.9,1.2
Jarrett Jack,1m90,24,82,9.9,2.9,3.8
Steve Blake,1m91,27,81,8.5,2.4,5.1
James Jones,2m04,27,58,8,2.8,0.6
Channing Frye,2m10,24,78,6.8,4.5,0.7
Joel Przybilla,2m14,28,77,4.8,8.4,0.4
Sergio Rodriguez,1m91,21,72,2.5,0.8,1.7
Von Wafer,1m95,22,8,2.4,1.1,0.3
Taurean Green,1m83,21,8,2.1,0.5,1
Raef Lafrentz,2m12,31,39,1.7,1.7,0.2
Josh McRoberts,2m08,20,8,1.5,1.3,0.3
