Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kemba Walker,1m85,27,80,22.1,3.1,5.6
Dwight Howard,2m11,32,81,16.6,12.5,1.3
Jeremy Lamb,1m98,25,80,12.9,4.1,2.3
Nicolas Batum,2m03,29,64,11.6,4.8,5.5
Frank Kaminsky,2m11,24,79,11.1,3.6,1.6
Marvin Williams,2m06,31,78,9.5,4.7,1.2
Michael Kidd-Gilchrist,2m02,24,74,9.2,4.1,1
Cody Zeller,2m11,25,33,7.1,5.4,0.9
Malik Monk,1m91,19,63,6.7,1,1.4
Willy Hernangomez,2m09,23,22,6.1,5.3,0.5
Johnny O'bryant,2m06,24,36,4.8,2.6,0.4
Michael Carter-Williams,1m98,26,52,4.6,2.7,2.2
Treveon Graham,1m98,24,63,4.3,1.9,0.9
Dwayne Bacon,2m01,22,53,3.3,2.3,0.7
Marcus Paige,1m83,24,5,2.4,0.8,0.6
Mangok Mathiang,2m08,25,4,2,2.5,0
Julyan Stone,1m99,29,23,0.8,1.3,1.1
