Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Carmelo Anthony,2m00,32,74,22.4,5.9,2.9
Kristaps Porzingis,2m18,21,66,18.1,7.2,1.5
Derrick Rose,1m88,28,64,18,3.8,4.4
Courtney Lee,1m95,31,77,10.8,3.4,2.3
Brandon Jennings,1m85,27,58,8.6,2.6,4.9
Willy Hernangomez,2m09,22,72,8.2,7,1.3
Justin Holiday,2m00,27,82,7.7,2.8,1.2
Kyle O'Quinn,2m08,26,79,6.3,5.5,1.5
Mindaugas Kuzminskas,2m06,27,68,6.3,1.9,1
Lance Thomas,2m05,28,46,6,3.1,0.8
Chasson Randle,1m88,23,18,5.3,1.5,1.6
Joakim Noah,2m10,31,46,5,8.7,2.2
Ron Baker,1m92,23,52,4.1,1.9,2.1
Maurice Ndour,2m06,24,32,3.1,2,0.3
Sasha Vujacic,1m98,32,41,3,1.4,1.3
Marshall Plumlee,2m11,24,20,2,2.6,0.5
