Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Zion Williamson,2m01,22,29,26,7,4.6
Brandon Ingram,2m03,25,45,24.7,5.5,5.8
C.J. McCollum,1m92,31,75,20.9,4.4,5.7
Trey Murphy III,2m06,22,79,14.5,3.6,1.4
Jonas Valanciunas,2m10,30,79,14.1,10.2,1.8
Herbert Jones,2m01,39,66,9.8,4.1,2.5
Naji Marshall,2m01,24,77,9.1,3.6,2.5
Jose Alvarado,1m83,24,61,9,2.3,3
Josh Richardson,1m98,29,23,7.5,2.4,1.6
Willy Hernangomez,2m09,28,37,7.1,4.9,0.9
Larry Nance,2m03,29,65,6.8,5.4,1.8
Devonte Graham,1m88,27,53,5.3,1.4,2.2
Jaxson Hayes,2m13,22,47,5,2.8,0.7
Kira Lewis,1m90,21,25,4.6,1.3,0.9
Dyson Daniels,1m97,19,59,3.8,3.2,2.3
Garrett Temple,1m95,36,25,2,0.7,0.5
Dereon Seabron,2m00,22,5,0.8,0.2,0
