Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Khris Middleton,2m02,23,6,15.8,3.7,2
Michael Carter-Williams,1m98,23,6,12.2,4.5,4.8
Giannis Antetokounmpo,2m11,20,6,11.5,7,2.7
O.J. Mayo,1m93,27,6,9,3.3,3
John Henson,2m10,24,6,8.8,8,0.7
Ersan Ilyasova,2m05,27,6,8.7,3.8,0.5
Zaza Pachulia,2m10,30,6,6.7,6.7,1.5
Jared Dudley,2m00,29,6,6.7,1.8,1.3
Jerryd Bayless,1m88,26,6,6.5,2.5,3
Johnny O'bryant,2m06,21,1,6,3,0
Tyler Ennis,1m89,20,1,5,4,3
Miles Plumlee,2m10,26,1,3,6,1
Jorge Gutierrez,1m93,26,1,2,1,1
