Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LeBron James,2m03,30,20,30.1,11.3,8.5
Kyrie Irving,1m94,22,13,19,3.6,3.8
Kevin Love,2m08,26,4,14.3,7,2.5
J.R. Smith,1m98,29,18,12.8,4.7,1.2
Timofey Mozgov,2m18,28,20,10.6,7.3,0.7
Tristan Thompson,2m03,23,20,9.6,10.8,0.5
Iman Shumpert,1m97,24,20,9.1,4.9,1.2
Matthew Dellavedova,1m95,24,20,7.2,2.1,2.7
James Jones,2m04,34,20,4.4,1.5,0.5
Joe Harris,1m98,23,6,1.3,0.2,0.2
Kendrick Perkins,2m08,30,8,1.3,1.1,0
Mike Miller,2m04,34,9,1,1.1,0
Shawn Marion,2m01,36,6,0.3,1,0.2
Brendan Haywood,2m15,35,1,0,0,0
