Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Isaiah Thomas,1m74,25,4,17.5,3,7
Avery Bradley,1m90,24,4,12.3,3.8,0.8
Jared Sullinger,2m08,22,4,12.3,7,0.3
Jae Crowder,2m00,24,4,10.8,5,2
Evan Turner,2m03,26,4,10.5,7.3,4.8
Marcus Smart,1m92,20,4,9.8,2.8,1.3
Tyler Zeller,2m12,24,4,8.5,4.5,0.5
Brandon Bass,2m04,29,4,5,2,2.5
Kelly Olynyk,2m13,23,4,4.5,1.3,0.5
Jonas Jerebko,2m08,27,4,2.8,3.5,0.3
Luigi Datome,2m03,27,3,1.3,0.3,0.3
Phil Pressey,1m80,23,2,0,0.5,0
Gerald Wallace,2m01,32,1,0,1,0
