Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jeff Teague,1m88,26,16,16.8,3.2,6.7
Paul Millsap,2m03,29,16,15.2,8.7,3.4
DeMarre Carroll,2m00,28,16,14.6,6.1,2
Al Horford,2m03,28,16,14.4,8.6,3.7
Kyle Korver,2m01,33,14,11.1,5,2.4
Dennis Schroder,1m81,21,16,9,1.8,3.9
Kent Bazemore,1m98,25,16,5.4,3.3,0.8
Mike Scott,2m03,26,11,4.5,4.2,0.5
Pero Antic,2m07,32,15,4.2,2.9,0.3
Mike Muscala,2m10,23,10,4.2,1.8,0.1
Shelvin Mack,1m93,24,10,3.9,1.1,1
John Jenkins,1m95,23,4,2.5,0.8,0
Elton Brand,2m04,35,3,0.3,0.3,0
