Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Monta Ellis,1m89,29,5,26,3.2,5.2
Dirk Nowitzki,2m14,36,5,21.2,10.4,2.4
Jose Juan Barea,1m77,30,5,11.8,4.8,7.4
Al-Farouq Aminu,2m06,24,5,11.2,7.2,1.2
Tyson Chandler,2m13,32,5,10.2,10.8,0.2
Chandler Parsons,2m08,26,1,10,6,2
Rajon Rondo,1m85,28,2,9.5,1,3
Amar'e Stoudemire,2m08,32,5,7.8,3.2,0.6
Devin Harris,1m89,31,4,6,2,1
Charlie Villanueva,2m10,30,5,6,2.6,0.6
Richard Jefferson,2m01,34,4,3.8,0.5,0.3
Raymond Felton,1m85,30,3,3.7,2.3,1.3
Dwight Powell,2m09,23,2,0,0.5,0.5
Bernard James,2m08,29,1,0,0,0
Greg Smith,2m08,23,1,0,0,0
