Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Brook Lopez,2m13,26,6,19.8,9,0.8
Joe Johnson,2m03,33,6,16.5,7.7,4.8
Jarrett Jack,1m90,31,6,12.3,4.2,4.5
Deron Williams,1m88,30,6,11.8,6.2,5.5
Alan Anderson,1m98,32,6,11,3.5,1.2
Thaddeus Young,2m03,26,6,10.5,7.2,2.7
Bojan Bogdanovic,2m00,25,6,10.3,3.8,1.7
Earl Clark,2m09,26,2,3,1,0
Markel Brown,1m90,22,2,3,1,0.5
Mason Plumlee,2m10,24,6,2,1.3,0.3
Mirza Teletovic,2m03,29,3,0,1.3,0
Darius Morris,1m95,23,1,0,0,0
Jerome Jordan,2m15,28,1,0,2,0
