Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
James Harden,1m96,25,17,27.2,5.7,7.5
Dwight Howard,2m11,29,17,16.4,14,1.2
Josh Smith,2m05,29,17,13.5,5.6,2.7
Trevor Ariza,2m04,29,17,13.2,6.4,2.6
Corey Brewer,2m03,28,17,11.2,2.8,1.1
Terrence Jones,2m08,22,17,10.2,4.8,1
Jason Terry,1m89,37,17,9.2,2.2,2.8
Clint Capela,2m03,20,17,3.4,2.5,0.3
Pablo Prigioni,1m86,37,17,3.1,1.1,2.3
Nick Johnson,1m91,22,9,1.3,0.4,0.4
Kostas Papanikolaou,2m04,24,8,0.4,0.3,0
Joey Dorsey,2m05,31,6,0.2,0.7,0.3
