Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kawhi Leonard,2m03,23,7,20.3,7.4,2.6
Tim Duncan,2m14,38,7,17.9,11.1,3.3
Boris Diaw,2m03,32,7,11.6,6.1,3.6
Tony Parker,1m86,32,7,10.9,3.3,3.6
Patty Mills,1m80,26,7,10.1,2.7,1.1
Marco Belinelli,1m94,28,7,9.3,1.9,1.4
Danny Green,1m98,27,7,8.3,3.1,2.1
Manu Ginobili,2m01,37,7,8,3.4,4.6
Tiago Splitter,2m10,29,7,3.4,4.4,1.3
Cory Joseph,1m92,23,4,2.8,0.3,0
Aron Baynes,2m08,28,4,2.3,2.5,0.3
Matt Bonner,2m10,34,7,0.9,0.9,0.1
Jeff Ayres,2m09,27,3,0,1,0.7
