Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LaMarcus Aldridge,2m08,29,5,21.8,11.2,1.8
Damian Lillard,1m91,24,5,21.6,4,4.6
C.J. McCollum,1m92,23,5,17,4,0.4
Nicolas Batum,2m03,26,5,14.2,8.6,5.2
Meyers Leonard,2m10,22,5,7.8,6.6,1
Robin Lopez,2m13,26,5,5.2,4.4,0.6
Allen Crabbe,2m00,22,2,5,1.5,0.5
Chris Kaman,2m13,32,3,3,4.7,1
Arron Afflalo,1m95,29,3,1.7,2.3,0.7
Steve Blake,1m91,34,5,1.4,0.2,1.6
Alonzo Gee,1m95,27,1,0,1,1
Tim Frazier,1m85,24,2,0,0,0
Joel Freeland,2m08,27,2,0,0.5,0
