Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Stephen Curry,1m90,26,21,28.3,5,6.4
Klay Thompson,2m01,24,21,18.6,3.9,2.6
Draymond Green,2m00,24,21,13.7,10.1,5.2
Harrison Barnes,2m05,22,21,10.6,5.2,1.5
Andre Iguodala,1m98,30,21,10.4,4.5,3.6
Shaun Livingston,2m01,29,21,5,2.4,1.8
Leandro Barbosa,1m89,32,21,5,1.3,0.9
Andrew Bogut,2m13,30,19,4.7,8.1,1.9
Marreese Speights,2m10,27,10,3.7,2.1,0.4
Festus Ezeli,2m12,25,20,3.5,3.1,0.3
David Lee,2m06,31,13,3.1,2.6,0.6
Brandon Rush,1m98,29,3,1,1,0
James McAdoo,2m05,21,5,0.8,0.8,0
Justin Holiday,2m00,25,5,0.6,0.2,0.2
