Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Tyrese Maxey,1m91,25,12,32,5.1,7.8
Joel Embiid,2m13,31,6,19.7,5.5,3.3
Kelly Oubre,2m01,30,12,16.8,5.1,1.3
Quentin Grimes,1m97,25,12,16.6,4.1,4.4
VJ Edgecombe,1m95,20,12,15.6,5.7,4.2
Trendon Watford,2m06,25,9,9,4.8,3.7
Dominick Barlow,2m05,22,3,8.3,6.7,2.7
Andre Drummond,2m09,32,11,8,8.8,0.8
Justin Edwards,2m03,,10,6.7,1.5,0.9
Jabari Walker,2m02,23,12,3.2,3.1,0.4
Kyle Lowry,1m85,39,1,3,0,1
Eric Gordon,1m92,37,3,2.7,0,0.3
Adem Bona,2m07,22,12,2.2,3.4,0.3
Johni Broome,2m07,23,2,2,1,0.5
Hunter Sallis,1m97,22,3,0.7,0.3,0.3
Jared McCain,1m91,21,3,0,0.7,1.3
