Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Giannis Antetokounmpo,2m11,31,11,32.6,11.5,7.3
Ryan Rollins,1m92,23,13,17.5,4,5.5
Kyle Kuzma,2m06,30,12,14.6,4.7,1.8
Myles Turner,2m11,29,13,12.8,6.1,1.9
A.J. Green,1m92,26,13,10.5,2.4,1.8
Pete Nance,2m07,25,1,10,1,0
Kevin Porter,1m93,25,1,10,0,2
Cole Anthony,1m91,25,12,9.9,3.3,4.8
Gary Trent Jr.,1m95,26,13,9.8,1.7,2.2
Bobby Portis,2m05,30,13,9.8,5.5,1.3
Taurean Prince,2m01,31,8,6.1,1.6,1
Mark Sears,1m84,23,4,3.8,0,0.3
Gary Harris,1m93,31,6,2,0.5,0.5
Amir Coffey,2m03,28,12,1.5,1.2,0.6
Jericho Sims,2m06,27,8,1.1,1.8,0.3
Thanasis Antetokounmpo,2m01,33,3,0.7,0,0
Andre Jackson Jr.,1m97,24,5,0,0.4,1
