Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Donovan Mitchell,1m91,29,11,30.5,4.5,5.5
Evan Mobley,2m13,24,12,19,8.7,4.2
De'Andre Hunter,2m01,28,10,18.8,4.9,3.1
Jarrett Allen,2m09,27,11,15.5,7.9,1.7
Sam Merrill,1m95,29,10,13.4,1.6,2.6
Darius Garland,1m88,25,3,13,3,5
Jaylon Tyson,2m00,,11,11.1,4.1,1.8
Nae'qwan Tomlin,2m02,24,4,8.3,3.5,0.5
Lonzo Ball,1m99,28,10,6.1,3.7,5.4
Craig Porter,1m87,25,13,5.7,2.9,2.8
Dean Wade,2m09,29,12,5.7,3.3,1.3
Tyrese Proctor,1m94,21,11,5.5,1,1.2
Larry Nance,2m03,32,11,4.1,3.5,1.5
Thomas Bryant,2m08,28,8,2.5,1.9,0.1
Luke Travers,1m95,24,6,1.7,1.8,0.7
