Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jaylen Brown,2m00,29,13,27,5.1,4.2
Derrick White,1m93,31,13,15.5,3.7,5.2
Payton Pritchard,1m85,27,13,15.3,4,5.2
Anfernee Simons,1m93,26,13,14.5,2.2,2.4
Neemias Queta,2m13,26,13,8.9,8.1,1.6
Josh Minott,2m03,23,12,8.1,5.6,1.5
Sam Hauser,2m01,28,13,7,3.3,1.3
Luka Garza,2m11,27,12,6.8,4.2,0.9
Jordan Walsh,2m00,21,9,4.4,4,0.8
Hugo Gonzalez,1m93,19,11,3,2,0.6
Baylor Scheierman,1m97,25,9,2.9,2.1,0.2
Xavier Tillman,2m02,26,7,2.9,2.4,0.6
Ron Harper Jr.,1m97,25,3,2.7,1,1
Chris Boucher,2m08,32,7,2.4,2.4,0.3
Amari Williams,2m08,23,2,1,1,0.5
