Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Ja Morant,1m91,26,11,18.9,3.7,8.1
Jaren Jackson Jr.,2m09,26,13,17.2,5.2,1.3
Cedric Coward,2m05,25,13,14.3,5.9,3.1
Santiago Aldama,2m11,24,13,12.7,6.5,2.5
Jock Landale,2m13,30,13,10.7,5.5,1.8
Jaylen Wells,2m03,22,13,9.6,3.7,1.6
Cam Spencer,1m92,25,13,9.2,2.1,3
Kentavious Caldwell-Pope,1m95,32,13,8.1,2.8,3.1
Vince Williams Jr.,1m98,25,8,8,4.3,2.6
Javon Small,1m88,23,8,4.3,1,2.8
Olivier-Maxence Prosper,2m03,23,9,4,2,0.4
Charles Bassey,2m11,25,2,3.5,7.5,1
John Konchar,1m96,29,11,2.6,2.3,0.9
Gregory Jackson,2m03,21,6,2,0.5,0.2
P.J. Hall,2m07,23,7,1.9,1.3,0.3
