Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jalen T. Johnson,2m06,24,11,21.5,9.5,6.3
Trae Young,1m89,27,5,17.8,2,7.8
Kristaps Porzingis,2m18,30,9,17.3,5.7,3.7
Nickeil Alexander-Walker,1m97,27,11,17.1,2.8,3.5
Onyeka Okongwu,2m05,25,13,14.8,8.2,2.3
Zaccharie Risacher,2m07,20,11,12.7,2.6,1.3
Vit Krejci,2m03,25,9,11.6,2.3,1.8
Luke Kennard,1m96,29,11,9.1,2.4,1.9
Dyson Daniels,1m97,22,13,8.5,5.6,5.4
Mouhamed Gueye,2m10,23,13,6.7,4,1.5
Asa Newell,2m06,20,7,5.6,2.3,0.1
Keaton Wallace,1m90,26,12,4.7,2,3.2
Caleb Houstan,2m05,22,5,2.8,0.6,0.4
Jacob Toppin,2m00,25,3,2,0.7,0
N'Faly Dante,2m13,24,4,0.8,1.8,0
