Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Norman Powell,1m92,32,10,26.1,4.1,2.4
Bam Adebayo,2m09,28,8,19.9,8.1,2.9
Andrew Wiggins,1m98,30,13,17.5,4.9,2.8
Jaime Jaquez,1m97,24,13,17.5,7.3,5.2
Simone Fontecchio,2m03,30,13,11.3,2.5,1
Kel'el Ware,2m14,21,13,10.8,9.2,0.7
Davion Mitchell,1m88,27,13,10,2.8,7.5
Pelle Larsson,1m94,24,13,9.9,2.4,2.7
Nikola Jovic,2m08,22,13,9.1,4.6,3.2
Dru Smith,1m90,28,13,5.9,1.9,3.3
Myron Gardner,1m97,24,1,3,1,1
Keshad Johnson,2m00,,4,1.8,1.5,0
Jahmir Young,1m84,25,2,1,0.5,1
