Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Miles Bridges,2m01,27,12,22.7,7.2,4
LaMelo Ball,2m00,24,7,22.3,7.1,9.9
Kon Knueppel,2m01,19,12,17.9,6.1,2.8
Collin Sexton,1m90,26,11,15.6,2.2,5.2
Brandon Miller,2m05,23,2,14.5,0,4
Tre Mann,1m96,24,12,10.7,3.4,3.5
Moussa Diabate,2m08,23,12,10.3,7.8,0.8
Ryan Kalkbrenner,2m13,23,11,9.9,6.8,0.5
Sion James,1m95,,12,8.6,3.1,1.5
K.J. Simpson,1m88,23,5,5,2.6,2.6
Liam Mcneeley,2m02,20,9,4.1,1.9,1.2
Pat Connaughton,1m96,32,8,3.8,1.8,0.6
Tidjane Salaun,2m03,20,7,3.1,3.6,0.7
Mason Plumlee,2m10,35,5,1.2,0.8,0.2
Antonio Reeves,1m92,23,1,0,0,0
