Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Lauri Markkanen,2m13,28,12,29.3,6.1,2.1
Keyonte George,1m93,22,12,21.3,4.1,7.1
Walker Kessler,2m13,24,5,14.4,10.8,3
Isaiah Collier,1m92,21,4,9.8,3.5,7
Sviatoslav Mykhailiuk,1m96,28,12,9.4,2.8,2
Ace Bailey,2m10,19,12,8.7,3.8,1.7
Brice Sensabaugh,1m97,22,11,8.5,2.5,1.1
Kyle Filipowski,2m11,22,12,7.8,5.3,2.4
Jusuf Nurkic,2m12,31,12,7.4,9.2,3.5
Kyle Anderson,2m02,32,3,7,2.3,3
Walter Clayton,1m87,22,11,6.2,2.4,3.2
Taylor Hendricks,2m05,22,9,4.4,4.2,0.4
Kevin Love,2m08,37,6,4,3.7,2.7
Cody Williams,2m03,21,7,3,0.9,0.6
Elijah Harkless,1m90,25,6,2.2,1,0.7
