Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Zach LaVine,1m96,30,11,24,3.6,2.2
DeMar Derozan,2m00,36,13,18.2,3.4,3.5
Domantas Sabonis,2m08,29,10,17.2,12.2,3.6
Russell Westbrook,1m88,37,13,14.4,6.4,6.4
Malik Monk,1m91,27,10,12.8,1.5,2.2
Dennis Schroder,1m81,32,13,11.5,3.5,6
Keon Ellis,1m97,25,13,7.5,1.5,0.7
Drew Eubanks,2m09,28,13,6.7,2.9,0.3
Precious Achiuwa,2m06,26,6,6.7,4.7,0.8
Doug McDermott,2m01,33,1,6,0,0
Nique Clifford,1m95,23,9,5.1,3.3,2.4
Maxime Raynaud,2m14,22,6,4.3,3.7,0.7
Devin Carter,1m90,23,8,2.1,1.5,1.1
Daeqwon Plowden,1m97,27,1,2,2,0
Dylan Cardwell,2m08,24,3,1.7,1.7,0
Dario Saric,2m07,31,3,1.7,1.7,0.7
Isaac Jones,2m06,,3,1,0.7,0.3
