Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jalen Brunson,1m87,29,11,28,3.5,6.5
Karl-Anthony Towns,2m11,30,12,21.8,12.5,3.3
Ogugua Anunoby,2m04,28,12,15.8,5.6,2.2
Mikal Bridges,2m01,29,12,15.6,4.5,4.9
Jordan Clarkson,1m98,33,12,10.3,1.8,1.6
Landry Shamet,1m93,28,12,10,2,0.9
Josh Hart,1m96,30,11,8.7,6.7,4.3
Miles McBride,1m88,25,10,8.5,2.5,2.7
Mitchell Robinson,2m16,27,6,3.7,8.7,1
Guerschon Yabusele,1m98,30,11,2.7,2.5,0.4
Tyler Kolek,1m90,24,10,2.3,0.5,1.3
Mohamed Diawara,2m04,20,6,1.2,0.2,0.2
Ariel Hukporti,2m13,23,8,1,2.1,0.6
Pacome Dadiet,2m00,20,5,0.8,0.6,0.4
Trey Jemison,2m12,26,1,0,2,0
