Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Luka Doncic,2m01,26,9,33.7,8.9,9.2
Austin Reaves,1m96,27,10,28.6,5,8.2
Deandre Ayton,2m09,27,12,15.9,8.3,1
Rui Hachimura,2m03,27,13,15.8,3.8,1.2
Jake LaRavia,2m01,24,13,10.7,4.4,2.5
Marcus Smart,1m92,31,11,10.2,2.4,3.4
Nick Smith,1m95,21,5,7.8,1.2,2.4
Dalton Knecht,1m98,,12,7.5,2.1,0.6
Jarred Vanderbilt,2m08,26,13,4.9,5.9,1.5
Jaxson Hayes,2m13,25,10,4.6,4,1.2
Gabe Vincent,1m91,29,3,3.7,1,2.3
Bronny James,1m89,20,8,2.3,1,1.9
Maximilian Kleber,2m08,33,2,2,3,0.5
Chris Manon,1m95,24,2,0,1,0
Christian Koloko,2m12,25,2,0,0.5,0
