Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Franz Wagner,2m05,24,13,22.7,6.5,3.8
Paolo Banchero,2m08,23,12,21.7,8.7,4.1
Desmond Bane,1m96,27,13,15.8,4.3,4.5
Jalen Suggs,1m94,24,10,12.5,3.9,4.4
Wendell Carter,2m09,26,13,12.2,7.5,1.8
Tristan Da Silva,2m02,24,13,11.5,3.7,0.9
Anthony Black,2m01,21,13,10.5,3,2.3
Goga Bitadze,2m12,26,13,6.1,5.2,1.2
Jonathan Isaac,2m06,28,12,2.6,2.5,0.1
Jett Howard,2m00,22,9,2.6,0.4,0.6
Noah Penda,1m99,20,7,2.4,1.9,0.9
Tyus Jones,1m88,29,13,1.5,0.8,1.4
Jase Richardson,1m89,19,7,0.4,0.1,0.9
Orlando Robinson,2m13,25,1,0,0,0
Jamal Cain,2m01,26,1,0,0,0
