Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Anthony Davis,2m09,32,5,20.8,10.2,2.2
Cooper Flagg,2m01,19,13,15.2,6.6,3.1
P.J. Washington,2m03,27,12,14.7,7.6,2.3
Max Christie,1m93,22,13,12.8,3.5,2.6
D'Angelo Russell,1m96,29,13,12.2,2.9,4.8
Naji Marshall,2m01,27,13,11.7,4.6,2.4
Brandon Williams,1m88,26,11,10.2,2.4,3.1
Daniel Gafford,2m11,27,8,9.5,5.9,1
Klay Thompson,2m01,35,12,8.8,2.8,1.9
Dereck Lively,2m16,21,4,5,5,2.3
Jaden Hardy,1m93,23,11,4.9,1.2,0.4
Moussa Cisse,2m10,23,9,4.3,3.9,0.1
Ryan Nembhard,1m83,22,5,3.2,0.2,1.8
Dwight Powell,2m09,34,11,2.5,1.9,0.6
Caleb Martin,1m96,30,11,1.5,1.6,1.1
Miles Kelly,1m95,22,1,0,0,0
