Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Michael Porter,2m08,27,11,23.2,7.7,3
Cam Thomas,1m93,24,8,21.4,1.3,2.6
Nic Claxton,2m11,26,12,15,7,3.7
Terance Mann,1m98,29,12,9.9,2.8,3.2
Ziaire Williams,2m03,24,10,9.7,2.4,0.5
Noah Clowney,2m07,22,12,9.3,4,1.8
Egor Demin,2m00,19,11,7.2,3.2,3.2
Jalen Wilson,2m02,25,10,6.5,1.1,0.7
Day'Ron Sharpe,2m11,24,11,6.5,5.2,1.8
Tyrese Martin,1m97,26,12,6.3,3.3,2.3
Drake Powell,1m98,19,6,6.2,2,2
Ben Avraham Saraf,1m95,19,7,3.3,1.9,2.4
E.J. Liddell,2m00,25,4,3,1.8,0
Nolan Traore,1m92,19,3,2.3,0.3,1.3
Danny Wolf,2m12,21,2,1,1,1
Tyson Etienne,1m84,26,4,0.8,0,0
