Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Nikola Jokic,2m09,30,11,28.8,13.1,10.9
Jamal Murray,1m94,28,10,22,5,5.7
Aaron Gordon,2m05,30,10,19.6,5.5,1.6
Christian Braun,1m98,24,11,11.4,4.4,3
Tim Hardaway Jr.,1m98,33,11,11,1.8,1.6
Jonas Valanciunas,2m10,33,11,8.9,4.8,1.2
Cameron Johnson,2m03,29,11,7.2,2.6,1.8
Bruce Brown,1m97,29,11,6.6,4.4,1.4
Peyton Watson,2m07,23,11,6,3.7,1.5
Julian Strawther,2m00,23,8,4.1,1.6,0.5
Jalen Pickett,1m92,26,6,2.5,1,1.2
Spencer Jones,2m00,24,7,1.9,0.3,0.4
Zeke Nnaji,2m10,24,6,1.8,0.3,0.3
DaRon Holmes II,2m09,23,2,1.5,0,0
Hunter Tyson,2m02,25,5,0,2,0
