Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Bennedict Mathurin,2m01,23,2,31,7,2.5
Pascal Siakam,2m06,31,11,24.1,7.4,5.3
Andrew Nembhard,1m96,25,5,17.2,1.4,6.8
Aaron Nesmith,1m97,26,11,15.5,4.5,1.5
Obi Toppin,2m06,27,3,14,6.7,1.7
Quenton Jackson,1m95,,5,11.8,3.4,3.6
Jarace Walker,2m01,22,12,10.3,5.2,3.3
T.J. McConnell,1m86,33,2,8.5,1,1.5
Isaiah Jackson,2m08,23,12,8.3,6.1,0.9
Ben Sheppard,1m97,24,12,6.8,4.7,1.7
Mac McClung,1m91,26,3,6.3,1.3,0.3
Tony Bradley,2m09,27,12,5.8,3.5,0.8
Ray Dennis,1m87,,10,5.7,1.8,2.5
Jeremiah Robinson-Earl,2m06,25,7,5.4,6.4,1
Jay Huff,2m16,28,12,5.3,3.2,0.8
James Wiseman,2m16,24,1,4,4,0
Monte Morris,1m89,30,4,3.8,1.5,2
Johnny Furphy,2m06,20,3,2.7,2,0
Taelon Peter,1m92,,8,1.9,1.4,1
Cody Martin,1m96,30,4,1.8,3.5,0.5
