Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Zion Williamson,2m01,25,5,22.8,6.8,4.6
Trey Murphy III,2m06,25,12,19.8,6.8,3.4
Jordan Poole,1m92,26,7,17.3,1.7,3.4
Jeremiah Fears,1m88,19,12,14.4,2.9,3.1
Saddiq Bey,2m01,26,12,12.5,4.6,2.1
Derik Queen,2m08,19,12,10.6,6,2.3
Herbert Jones,2m01,42,12,10.4,3.8,2.5
Jose Alvarado,1m83,27,11,6.8,2.5,2.5
Yves Missi,2m12,21,7,5.6,4.9,1.1
DeAndre Jordan,2m13,37,2,4.5,5,0
Karlo Matkovic,2m07,24,10,4.5,2.5,0.5
Jordan Hawkins,-,23,11,3.9,1.7,0.5
Kevon Looney,2m06,29,7,2.9,3.9,1.6
Hunter Dickinson,2m18,25,1,2,0,0
Micah Peavy,2m00,24,8,1.8,2.3,0.6
Bryce McGowens,2m00,23,4,1.5,0,0.8
