Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Cade Cunningham,2m03,24,11,27.5,5.4,9.9
Jalen Duren,2m11,22,11,19.4,12,1.6
Ausar Thompson,2m01,,10,13.9,6.6,3.4
Tobias Harris,2m05,33,6,13.5,6,2.8
Duncan Robinson,2m03,31,13,12.5,2.8,1.8
Isaiah Stewart,2m06,24,10,11,6.7,1.5
Daniss Jenkins,1m90,24,8,9.8,2,3.6
Caris LeVert,1m98,31,9,9.6,1.3,3
Ronald Holland,2m07,20,13,9.2,3.8,1.8
Tolu Smith,2m08,25,2,8.5,5.5,1
Javonte Green,1m93,32,13,7.2,3.8,1.3
Paul Reed,2m05,26,11,7.1,4.8,1.2
Chaz Lanier,1m92,,9,3.4,1.1,1
Wendell Moore,1m97,24,2,3,1,1.5
Bobi Klintman,2m00,22,6,2.8,2.7,0.7
Colby Jones,1m95,23,1,2,4,2
