Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Brandon Ingram,2m03,28,12,20.5,6.1,4
Scottie Barnes,2m06,24,12,20.2,7.6,5.2
R.J. Barrett,2m02,25,12,19.1,5,4
Immanuel Quickley,1m94,26,12,16.1,4.4,6.2
Jakob Poeltl,2m13,30,8,9.8,7.1,1.9
Sandro Mamukelashvili,2m11,26,11,9.4,3.5,1.8
Collin Murray-Boyles,2m01,20,9,8.8,3.9,1.2
Gradey Dick,2m02,22,12,7.5,2,0.5
Jamal Shead,1m84,23,12,6.5,1.9,5.2
Jamison Battle,2m00,24,10,4.1,1.1,0.2
Ja’Kobe Walter,1m95,20,9,3.2,1.3,0.7
Ochai Agbaji,1m96,25,9,2.7,2.1,0.7
Jonathan Mogbo,2m02,24,7,0.9,1.3,0.6
Garrett Temple,1m95,39,1,0,0,0
