Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kevin Durant,2m08,37,11,25.1,4.6,3.2
Alperen Sengun,2m08,23,11,22.4,10.2,7.4
Amen Thompson,2m01,,11,17.7,5.7,5.5
Jabari Smith Jr.,2m09,22,10,14.9,6,1.8
Reed Sheppard,1m91,20,11,12.3,2.3,3.2
Tari Eason,2m01,24,11,11.5,5.2,1.6
Josh Okogie,1m94,27,11,8.6,2.3,1.3
Steven Adams,2m15,32,10,6.4,9,1.6
Aaron Holiday,1m85,29,6,3.8,0.5,1.2
Clint Capela,2m03,31,11,3.6,4.5,0.4
Jeff Green,2m03,39,5,2.4,0.4,0
JD Davison,1m92,23,5,2.2,0,0.4
Jae'Sean Tate,1m93,30,7,1.1,0.9,0.1
