Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Victor Wembanyama,2m25,21,12,26.2,12.9,4
De'Aaron Fox,1m91,28,4,20.5,4,5.8
Stephon Castle,1m98,21,12,18.3,6.3,7.8
Dylan Harper,1m93,19,6,14,4,3.8
Devin Vassell,1m97,25,12,13.7,3.6,2
Harrison Barnes,2m05,33,12,11.4,2.8,2
Keldon Johnson,1m98,26,12,10.8,5.7,1.8
Luke Kornet,2m18,30,5,9.6,5.6,2
Julian Champagnie,2m00,24,12,9.6,4.9,1.3
Jeremy Sochan,2m06,22,6,6.2,2.3,1.3
Jordan McLaughlin,1m85,29,8,3.5,0.6,1.3
David Jones,1m95,24,3,3,1,1.3
Lindy Waters,1m98,28,5,3,0.8,0.6
Riley Minix,2m00,25,3,3,0.7,0.3
Carter Bryant,2m03,20,7,2.4,0.9,0
Kelly Olynyk,2m13,34,3,2,1.7,1.7
Harrison Ingram,2m04,23,3,1.7,1,0
Bismack Biyombo,2m04,33,5,0.4,1,0.4
