Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Devin Booker,1m98,29,13,28.5,4.2,7
Dillon Brooks,1m96,29,7,20.3,2.9,2
Grayson Allen,1m93,30,13,18.5,3.1,4.3
Jalen Green,1m98,23,2,15.5,2,2
Royce O'Neale,1m98,32,13,12.2,5.5,3.2
Mark Williams,2m12,24,11,11.7,8.7,0.9
Collin Gillespie,1m90,26,13,9.5,3.8,4.9
Ryan Dunn,2m00,22,13,8.4,5.2,1.6
Jordan Goodwin,1m91,27,10,5.9,3.4,2
Oso Ighodaro,2m05,23,13,4.5,3.5,1.3
Nick Richards,2m12,28,13,4.2,3.4,0.4
Koby Brea,1m97,23,1,4,0,1
Isaiah Livers,2m01,27,7,2.3,1.3,0.6
Khaman Maluach,2m13,19,7,1.9,0.9,0.1
Nigel Hayes,2m03,31,11,1.7,1.2,0.5
Rasheer Fleming,2m05,22,7,1.7,0.9,0.3
