Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Shai Gilgeous-Alexander,1m98,27,13,32.5,5.2,6.6
Chet Holmgren,2m15,23,9,18.7,8.2,1.8
Ajay Mitchell,1m92,23,13,16.9,3.8,3.8
Isaiah Joe,1m95,26,8,16.3,3.1,1.4
Aaron Wiggins,1m93,26,9,14.8,3.7,2.2
Isaiah Hartenstein,2m13,27,13,12.8,11.2,2.9
Cason Wallace,1m92,22,12,8.4,3.3,2.7
Luguentz Dort,1m94,26,7,7.1,5,1.6
Alex Caruso,1m95,31,9,6.4,2.3,2.7
Jaylin Williams,2m08,23,13,5.4,4.8,2.4
Ousmane Dieng,2m05,22,10,2.7,1.9,0.5
Branden Carlson,2m12,26,8,2.3,1.9,0.4
Brooks Barnhizer,1m98,,11,1.3,1.8,0.2
Chris Youngblood,1m92,23,12,1.3,0.5,0.2
