Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Anthony Edwards,1m95,24,8,27.5,4.1,3.4
Julius Randle,2m04,31,12,25.4,7.5,6.1
Jaden McDaniels,2m05,25,12,17.9,4.6,2.3
Donte DiVincenzo,1m93,28,12,14.3,3.8,3.8
Rudy Gobert,2m15,33,12,10.9,9.9,1.4
Naz Reid,2m08,26,12,10.9,5.6,2
Mike Conley,1m85,38,12,6.3,2.1,3.7
Jaylen Clark,1m95,24,10,5.2,2.1,0.9
Rob Dillingham,1m91,20,10,4.8,1,2.4
Bones Hyland,1m91,25,11,4.3,0.9,1.4
Terrence Shannon,1m97,25,7,3.9,2.4,1.1
Leonard Miller,1m96,22,7,2.1,1.1,0.1
Joan Beringer,2m07,19,8,1.5,1,0
Johnny Juzang,1m97,24,6,1,0.5,0.2
Joe Ingles,2m04,38,4,0,0,1.3
