Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Deni Avdija,2m05,24,12,25.8,6.6,4.6
Shaedon Sharpe,1m98,22,12,20.9,5.3,1.7
Jerami Grant,2m03,31,12,17.7,2.8,2.3
Jrue Holiday,1m90,35,12,16.7,5.3,8.3
Toumani Camara,1m94,25,12,12.4,4.8,2.9
Donovan Clingan,2m17,22,12,8.3,8.8,1.1
Blake Wesley,1m96,22,6,6,2.3,3.2
Kris Murray,2m02,25,11,5.3,3,1
Matisse Thybulle,1m97,28,4,5,1,0.8
Duop Reath,2m11,29,9,4.2,0.7,0.4
Robert Williams,2m09,28,7,3.9,3.7,0.7
Caleb Love,1m93,24,4,3.8,2,1.5
Sidy Cissoko,1m98,21,7,2.6,1.6,0.7
Hansen Yang,2m16,20,5,1.8,0.8,0
Rayan Rupert,1m99,21,6,1,0.8,0.3
