Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Stephen Curry,1m90,37,11,29.1,3.5,3.7
Jimmy Butler,2m00,36,13,19.2,5.6,4.4
Jonathan Kuminga,2m03,23,13,13.8,6.6,2.8
Moses Moody,1m98,23,12,11.6,2.7,1.6
Brandin Podziemski,1m95,22,14,11.4,4.6,3.1
Will Richard,1m95,23,12,9.4,2.1,1.3
Draymond Green,2m00,35,13,7.6,5.5,5.7
Buddy Hield,1m93,33,14,6.6,1.6,1.6
Quinten Post,2m14,25,14,5.6,3.6,0.9
Al Horford,2m03,39,9,5.3,4.1,1.3
Pat Spencer,1m90,29,8,5.1,1.6,1.8
Trayce Jackson-Davis,2m05,25,8,4.5,2.5,1.3
Gary Payton II,1m90,33,13,2.5,2.6,1.2
Gui Santos,2m02,23,11,1.9,1.5,0.2
