Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Alexandre Sarr,2m13,20,12,19.1,8.6,3.8
C.J. McCollum,1m92,34,12,16.3,3.3,3.3
Kyshawn George,2m03,22,11,15.8,6.1,4.5
Tre Johnson,2m04,19,12,11.8,3.5,1.4
Bilal Coulibaly,1m99,21,4,10.5,4.8,3.3
Khris Middleton,2m02,34,9,9.4,3.8,2.4
Cam Whitmore,1m98,21,12,9.2,2.3,0.6
Corey Kispert,2m01,26,12,8.3,2.3,1.8
Marvin Bagley,2m11,26,12,7.5,4.3,1.3
Carlton Carrington,1m96,20,12,6.5,4,4.5
Malaki Branham,1m96,22,5,3.8,1.6,0.6
Tristan Vukcevic,2m08,22,9,3,0.8,0.4
Justin Champagnie,1m97,24,11,2.5,3.1,0.4
Will Riley,2m03,19,9,2.2,1.6,0.8
Jamir Watkins,2m00,24,3,2,2,0
Anthony Gill,2m04,33,5,1.8,0.8,0
AJ Johnson,1m96,21,7,1,0.6,0.6
Sharife Cooper,1m85,24,2,0,0,0
