Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LaMarcus Aldridge,2m08,24,6,19,6,2.2
Andre Miller,1m89,33,6,15.7,3.2,6
Jerryd Bayless,1m88,21,6,13.5,2.7,3.8
Martell Webster,2m01,23,6,9.8,4.3,0.7
Brandon Roy,1m98,25,3,9.7,2.3,1.7
Nicolas Batum,2m03,21,6,8.2,3.2,0.8
Rudy Fernandez,1m96,24,6,6.8,1.7,1.3
Marcus Camby,2m12,35,6,5.8,10,2.3
Dante Cunningham,2m05,22,5,4.6,2.6,0
Juwan Howard,2m07,36,6,3.3,2.7,0.7
Jeff Ayres,2m09,22,3,2.3,0.7,0
Patty Mills,1m80,21,3,2,0,1
Travis Diener,1m85,27,2,0,0,1
