Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Ty Lawson,1m80,24,61,16.4,3.7,6.6
Arron Afflalo,1m95,26,62,15.2,3.2,2.4
Danilo Gallinari,2m04,23,43,14.6,4.7,2.7
Al Harrington,2m07,31,64,14.2,6.1,1.4
Nene Hilario,2m05,29,28,13.4,7.4,2.2
JaVale McGee,2m13,23,20,10.3,5.8,0.3
Kenneth Faried,2m05,22,46,10.2,7.7,0.8
Andre Miller,1m89,35,66,9.7,3.3,6.7
Wilson Chandler,2m03,24,8,9.4,5.1,2.1
Corey Brewer,2m03,25,59,8.9,2.5,1.5
Rudy Fernandez,1m96,26,31,8.6,2.1,2.4
Kosta Koufos,2m13,22,48,5.5,5.4,0.3
Timofey Mozgov,2m18,25,44,5.4,4.1,0.5
Chris Andersen,2m08,33,32,5.3,4.6,0.2
Jordan Hamilton,2m03,21,26,4.4,2.4,0.8
DeMarre Carroll,2m00,25,4,3,0.8,0.8
Julyan Stone,1m99,23,22,1.6,1.1,1.7
