Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LaMarcus Aldridge,2m08,25,81,21.8,8.8,2.1
Wesley Matthews,1m96,24,82,15.9,3.1,2
Gerald Wallace,2m01,28,23,15.8,7.6,2.5
Andre Miller,1m89,34,81,12.7,3.7,7
Nicolas Batum,2m03,22,80,12.4,4.5,1.5
Brandon Roy,1m98,26,47,12.2,2.6,2.7
Rudy Fernandez,1m96,25,78,8.6,2.2,2.5
Patty Mills,1m80,22,64,5.5,0.8,1.7
Dante Cunningham,2m05,23,56,5.1,3.4,0.5
Marcus Camby,2m12,36,59,4.7,10.3,2.1
Earl Barron,2m11,29,2,3.5,7,1.5
Armon Johnson,1m91,21,38,2.9,0.9,1.2
Chris Johnson,2m10,25,10,2.7,2.7,0.2
Joel Przybilla,2m14,31,31,1.8,3.9,0.4
Sean Marks,2m09,35,29,1.6,1.4,0.1
Luke Babbitt,2m06,21,24,1.5,1.3,0.3
Fabricio Oberto,2m08,35,5,1.4,1.4,0
Jarron Collins,2m11,32,5,0.4,1.4,0.2
