Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Larry Bird,2m07,34,60,19.4,8.5,7.2
Reggie Lewis,2m01,25,79,18.7,5.2,2.5
Kevin McHale,2m09,33,68,18.4,7.1,1.9
Kevin Gamble,1m98,25,82,15.6,3.3,3.1
Robert Parish,2m17,37,81,14.9,10.6,0.8
Brian Shaw,1m99,24,79,13.8,4.7,7.6
Dee Brown,1m89,22,82,8.7,2.2,4.2
Ed Pinckney,2m06,27,70,5.2,4.9,0.6
Michael Smith,2m08,25,47,4.6,1.2,0.9
Joe Kleine,2m14,28,72,3.6,3.4,0.3
Derek Smith,2m01,29,2,2.5,0,2.5
A.J. Wynder,1m88,26,6,2,0.5,1.3
Stojan Vrankovic,2m19,26,31,1.9,1.6,0.1
David Popson,2m06,26,19,1.8,0.7,0.1
Charles E. Smith,1m85,23,5,1.8,0.4,1.2
