Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Clyde Drexler,2m01,28,82,21.5,6.7,6
Terry Porter,1m91,27,81,17,3.5,8
Kevin Duckworth,2m14,26,81,15.8,6.6,1.1
Jerome Kersey,2m01,28,73,14.8,6.6,3.1
Clifford Robinson,2m09,24,82,11.7,4.3,1.8
Buck Williams,2m04,30,80,11.7,9.4,1.2
Danny Ainge,1m96,31,80,11.1,2.6,3.6
Walter Davis,1m99,36,32,6.1,1.8,1.3
Mark Bryant,2m07,25,53,5.1,3.6,0.5
Drazen Petrovic,1m98,26,18,4.4,1,1.1
Danny Young,1m96,28,75,3.8,1,1.9
Alaa Abdelnaby,2m10,22,43,3.1,2.1,0.3
Wayne Cooper,2m08,34,67,2.2,2.8,0.3
