Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Patrick Ewing,2m14,31,79,24.5,11.2,2.3
John Starks,1m96,28,59,19,3.1,5.9
Charles Oakley,2m07,30,82,11.8,11.8,2.7
Hubert Davis,1m96,23,56,11,1.2,2.9
Charles E. Smith,1m85,26,43,10.4,3.8,1.2
Derek Harper,1m93,32,54,8.6,1.6,4.4
Greg Anthony,1m86,26,80,7.9,2.4,4.6
Glenn Rivers,1m94,32,19,7.5,2.1,5.3
Rolando Blackman,1m99,34,55,7.3,1.7,1.4
Anthony Mason,2m04,27,73,7.2,5.8,2.1
Tony Campbell,2m01,31,22,7.1,2.7,1.4
Anthony Bonner,2m03,25,73,5.1,4.7,1.2
Herb Williams,2m11,35,70,3.3,2.6,0.4
Eric Anderson,2m04,23,11,1.9,1.5,0.2
Corey Gaines,1m90,28,18,1.8,0.7,1.7
Gerald Paddio,2m03,28,3,1.3,0,0
