Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Hakeem Olajuwon,2m14,30,80,27.3,11.9,3.6
Otis Thorpe,2m09,31,82,14,10.6,2.3
Vernon Maxwell,1m94,28,75,13.6,3.1,5.1
Kenny Smith,1m90,28,78,11.6,1.8,4.2
Christopher Jent,2m01,23,3,10.3,5,2.3
Robert Horry,2m09,23,81,9.9,5.4,2.9
Mario Elie,1m96,30,67,9.3,2.7,3.1
Sam Cassell,1m91,24,66,6.7,2,2.9
Scott Brooks,1m80,28,73,5.2,1.4,2
Carl Herrera,2m07,27,75,4.7,3.8,0.5
Larry Robinson,1m98,25,6,4.2,1.7,1
Matt Bullard,2m09,26,65,3.5,1.3,1
Richard Petruska,2m08,24,22,2.4,1.4,0
Earl Cureton,2m06,36,2,2,6,0
Eric Riley,2m14,23,47,1.9,1.3,0.2
