Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Charles Barkley,1m99,30,65,21.6,11.2,4.6
Kevin Johnson,1m86,27,67,20,2.5,9.5
Cedric Ceballos,2m01,24,53,19.1,6.5,1.7
Dan Majerle,1m99,28,80,16.5,4.4,3.4
A.C. Green,2m07,30,82,14.7,9.2,1.7
Oliver Miller,2m07,23,69,9.2,6.9,3.5
Danny Ainge,1m96,34,68,8.9,1.9,2.6
Mark West,2m09,33,82,4.7,3.6,0.4
Frank Johnson,1m86,35,70,4.6,1.2,2.1
Elliot Perry,1m84,24,27,3.9,1.4,4.6
Joe Kleine,2m14,31,74,3.9,2.6,0.6
Joe Courtney,2m06,24,33,3.1,0.8,0.3
Jerrod Mustaf,2m08,15,33,2.2,1.7,0.2
Duane Cooper,1m85,24,23,2.1,0.4,1.2
Negele Knight,1m85,26,1,2,0,0
Malcolm Mackey,2m07,23,22,1.5,1.1,0
Skeeter Henry,2m01,26,4,1,0.5,1
