Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Tim Hardaway,1m84,30,81,20.3,3.4,8.6
Alonzo Mourning,2m09,26,66,19.8,9.9,1.6
Jamal Mashburn,2m04,24,32,13.4,5.6,3.5
Voshon Lenard,1m94,23,73,12.3,3,2.2
Predrag Danilovic,1m96,26,43,11.3,2.4,1.8
Dan Majerle,1m99,31,36,10.8,4.5,3.2
Isaac Austin,2m09,27,82,9.7,5.8,1.2
P.J. Brown,2m12,27,80,9.5,8.4,1.2
Kurt Thomas,2m07,24,18,6.3,5.9,0.5
Keith Askins,2m04,29,78,4.9,3.5,1
John Crotty,1m86,27,48,4.8,1,2.1
Gary Grant,1m91,31,28,3.9,1.4,1.6
Willie Anderson,2m03,29,28,3,1.5,1.2
Ed Pinckney,2m06,33,27,2.4,2.4,0.2
Mark Strickland,2m09,26,31,2,1.2,0
Martin Muursepp,2m07,22,10,1.7,0.5,0.3
James Scott,1m96,24,8,0.1,0.8,0.4
Matt Fish,2m12,27,1,0,0,0
Bruce Bowen,2m01,25,1,0,0,0
