Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Dominique Wilkins,2m04,36,63,18.2,6.4,1.9
David Robinson,2m17,31,6,17.7,8.5,1.3
Sean Elliott,2m04,28,39,14.9,4.9,3.2
Vernon Maxwell,1m94,31,72,12.9,2.2,2.1
Vinny Del Negro,1m94,30,72,12.3,2.9,3.2
Avery Johnson,1m81,31,76,10.5,1.9,6.8
Monty Williams,2m04,25,65,9,3.2,1.4
Will Perdue,2m14,31,65,8.7,9.8,0.6
Carl Herrera,2m07,30,75,8,4.5,0.7
Cory Alexander,1m86,23,80,7.2,1.5,3.2
Charles Smith,2m10,31,19,4.6,3.4,0.7
Gaylon Nickerson,1m91,27,3,4.3,1.3,0.3
Darrin Hancock,2m01,25,1,4,0,1
Greg Anderson,2m08,32,82,3.9,5.5,0.4
Jamie Feick,2m04,22,38,3.8,5.6,0.7
Stephen Howard,2m07,26,7,3.7,1.3,0.1
Devin Gray,1m99,24,3,3.3,1.7,0
Jason Sasser,2m01,22,6,2.8,1.2,0.2
Joe Courtney,2m06,27,5,2.6,1.4,0
Tim Kempton,2m08,32,10,0.4,0.8,0.2
