Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Allen Iverson,1m84,24,70,28.4,3.8,4.7
Toni Kukoc,2m12,31,32,12.4,4.5,4.4
Tyrone Hill,2m07,31,68,12,9.2,0.8
Theo Ratliff,2m09,26,57,11.9,7.6,0.6
Larry Hughes,1m96,20,50,10,3.2,1.5
Matt Geiger,2m17,30,65,9.7,6,0.6
George Lynch,2m04,29,75,9.6,7.8,1.8
Aaron McKie,1m96,27,82,8,3,2.9
Eric Snow,1m91,26,82,7.9,3.2,7.6
Billy Owens,2m07,30,46,5.9,4.2,1.3
Todd Macculloch,2m14,23,56,3.7,2.6,0.2
Stanley Roberts,2m15,29,5,2,3,0.6
Nazr Mohammed,2m09,22,28,1.9,1.8,0.1
Kevin Ollie,1m94,27,40,1.8,0.8,1.2
Jumaine Jones,2m01,20,32,1.8,1.2,0.2
Bruce Bowen,2m01,28,42,1.4,0.9,0.4
Antonio Lang,2m04,27,3,1,0,0.3
Ira Bowman,1m96,26,11,0.5,0.2,0.1
