Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Chris Webber,2m09,26,75,24.5,10.5,4.6
Jason Williams,1m86,24,81,12.3,2.8,7.3
Vlade Divac,2m17,31,82,12.3,8,3
Predrag Stojakovic,2m07,22,74,11.9,3.7,1.4
Nick Anderson,1m99,31,72,10.8,4.7,1.7
Corliss Williamson,2m01,26,76,10.3,3.8,1.1
Jon Barry,1m96,30,62,8,2.6,2.4
Lawrence Funderburke,2m06,29,75,6.4,3.1,0.4
Tony Delk,1m89,25,46,6.4,1.9,1.2
Darrick Martin,1m81,28,71,5.7,0.6,1.7
Scot Pollard,2m12,24,76,5.4,5.3,0.6
Ryan Robertson,1m96,23,1,5,0,0
Tyrone Corbin,1m99,37,54,4.1,3.1,1.1
Bill Wennington,2m14,36,7,2,2.7,0.1
