Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Shaquille O'Neal,2m17,27,79,29.7,13.6,3.8
Kobe Bryant,2m01,21,66,22.5,6.3,4.9
Glen Rice,2m04,32,80,15.9,4.1,2.2
Ron Harper,1m99,35,80,7,4.2,3.4
Rick Fox,2m01,30,82,6.5,2.4,1.7
Derek Fisher,1m86,25,78,6.3,1.8,2.8
Tyronn Lue,1m84,22,8,6,1.5,2.1
Robert Horry,2m09,29,76,5.7,4.8,1.6
A.C. Green,2m07,36,82,5,5.9,1
Brian Shaw,1m99,33,74,4.1,2.9,2.7
Sam Jacobson,1m99,24,3,3.3,0.3,0.7
Devean George,2m04,22,49,3.2,1.5,0.2
John Celestand,1m91,22,16,2.3,0.7,1.3
Travis Knight,2m14,25,62,1.8,2.1,0.4
John Salley,2m12,35,45,1.6,1.4,0.6
