Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jalen Rose,2m04,26,80,18.2,4.8,4
Reggie Miller,2m01,34,81,18.1,3,2.3
Rik Smits,2m24,33,79,12.9,5.1,1.1
Austin Croshere,2m07,24,81,10.3,6.4,1.1
Dale Davis,2m12,30,74,10,9.9,0.9
Travis Best,1m81,27,82,8.9,1.7,3.3
Mark Jackson,1m91,34,81,8.1,3.7,8
Sam Perkins,2m07,38,81,6.6,3.6,0.8
Al Harrington,2m07,19,50,6.6,3.2,0.8
Chris Mullin,2m01,36,47,5.1,1.6,0.8
Derrick McKey,2m09,33,32,4.3,4.2,1.1
Jonathan Bender,2m12,18,24,2.7,0.9,0.1
Jeff Foster,2m12,22,19,2.3,1.7,0.3
Zan Tabak,2m14,29,18,2.1,1.8,0.2
