Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Dirk Nowitzki,2m14,23,76,23.4,9.9,2.4
Michael Finley,2m01,28,69,20.6,5.2,3.3
Steve Nash,1m91,27,82,17.9,3.1,7.7
Nick Van Exel,1m86,30,27,13.2,3.1,4.2
Juwan Howard,2m07,28,53,12.9,7.4,1.8
Raef Lafrentz,2m12,25,27,10.8,7.4,1.1
Tim Hardaway,1m84,35,54,9.6,1.8,3.7
Adrian Griffin,1m96,27,58,7.2,3.9,1.8
Eduardo Najera,2m04,25,62,6.5,5.5,0.6
Greg Buckner,1m94,25,44,5.8,3.9,1.1
Wang Zhi-zhi,2m15,22,55,5.6,2,0.4
Johnny Newman,2m01,38,47,4.2,1,0.3
Shawn Bradley,2m29,29,53,4.1,3.3,0.4
Danny Manning,2m09,35,41,4,2.6,0.7
Avery Johnson,1m81,36,17,3.2,0.3,1.6
Donnell Harvey,2m04,21,18,2.1,2.6,0.3
Evan Eschmeyer,2m12,26,31,2,3.2,0.3
Darrick Martin,1m81,30,3,0.3,0.3,1
Tariq Abdul-Wahad,1m99,27,4,0,1.5,0.5
Charlie Bell,1m91,22,2,0,0.5,0
