Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Antawn Jamison,2m06,25,82,19.7,6.8,2
Jason Richardson,1m98,20,80,14.4,4.3,3
Larry Hughes,1m96,22,73,12.3,3.4,4.3
Danny Fortson,2m01,25,77,11.2,11.7,1.6
Gilbert Arenas,1m91,19,47,10.9,2.8,3.7
Bob Sura,1m96,28,78,10,3.3,3.5
Erick Dampier,2m12,26,73,7.6,5.3,1.2
Chris Mills,2m01,31,66,7.4,2.9,1.1
Troy Murphy,2m11,21,82,5.9,3.9,0.9
Marc Jackson,2m09,26,17,4.9,2.5,0.4
Adonal Foyle,2m09,26,79,4.8,4.9,0.5
Mookie Blaylock,1m86,34,35,3.4,1.5,3.3
Cedric Henderson,2m01,26,12,3,0.3,0.3
Dean Oliver,1m80,23,20,2.1,0.4,1.1
Dean Garrett,2m09,35,5,1.6,2,0.2
