Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Richard Jefferson,2m01,23,82,18.5,5.7,3.8
Kenyon Martin,2m07,26,65,16.7,9.5,2.5
Jason Kidd,1m94,30,67,15.5,6.4,9.2
Kerry Kittles,1m96,29,82,13.1,4,2.5
Alonzo Mourning,2m09,33,12,8,2.3,0.7
Rodney Rogers,2m01,32,69,7.8,4.4,2
Lucious Harris,1m96,33,69,6.9,2,2
Aaron Williams,2m07,32,72,6.3,4.1,1.1
Jason Collins,2m13,25,78,5.9,5.1,2
Brian Scalabrine,2m06,25,69,3.5,2.5,0.9
Zoran Planinic,1m98,21,49,3.1,1.1,1.4
Brandon Armstrong,1m96,23,56,2.7,0.8,0.3
Tamar Slay,2m03,23,22,2.4,1.1,0.6
Robert Pack,1m89,34,26,1.9,0.7,1
Douglas Overton,1m91,34,6,1.3,0.2,0.7
Damone Brown,2m06,24,3,1,1.7,0
Anthony Goldwire,1m89,32,6,0.7,0.2,0.2
Mikki Moore,2m14,28,4,0.5,0.5,0
Hubert Davis,1m96,33,14,0.3,0.6,0.2
