Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LeBron James,2m03,20,80,27.2,7.4,7.2
Zydrunas Ilgauskas,2m22,29,78,16.9,8.6,1.3
Drew Gooden,2m10,23,82,14.4,9.2,1.6
Jeff McInnis,1m94,30,76,12.8,2.1,5.1
Ira Newble,2m01,29,74,5.9,3,1.2
Robert Traylor,2m04,27,74,5.5,4.5,0.8
Anderson Varejao,2m09,22,54,4.9,4.8,0.5
Aleksandar Pavlovic,2m01,21,65,4.8,1.1,0.8
Lucious Harris,1m96,34,73,4.3,1.7,0.7
Dajuan Wagner,1m90,21,11,4,0.2,1.2
Eric Snow,1m91,31,81,4,1.9,3.9
Luke Jackson,2m01,23,10,2.9,0.6,0.3
Jiri Welsch,1m98,24,16,2.9,1.8,1.2
Scott Williams,2m09,36,19,1.7,1.6,0.4
Jerome Moiso,2m11,26,4,1.5,1.8,0.3
Desagana Diop,2m13,22,39,1,1.8,0.4
