Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Richard Hamilton,1m99,26,76,18.7,3.9,4.9
Chauncey Billups,1m91,28,80,16.5,3.4,5.8
Tayshaun Prince,2m05,24,82,14.7,5.3,3
Rasheed Wallace,2m12,30,79,14.5,8.2,1.8
Ben Wallace,2m07,30,74,9.7,12.2,1.7
Antonio McDyess,2m07,30,77,9.6,6.3,0.9
Carlos Arroyo,1m88,25,40,5.4,1.5,3.2
Carlos Delfino,2m03,22,30,3.9,1.8,1.3
Elden Campbell,2m14,36,31,3.8,2.6,0.5
Lindsey Hunter,1m89,34,76,3.8,1.6,1.7
Ronald Dupree,2m01,23,47,3.2,2,0.5
Smush Parker,1m93,23,11,3,0.8,1
Horace Jenkins,1m85,30,15,2.8,0.6,0.6
Anthony Goldwire,1m89,33,9,2,0.9,0
Darko Milicic,2m12,19,37,1.8,1.2,0.2
Derrick Coleman,2m09,37,5,1.8,3,0
Darvin Ham,2m01,31,47,1,0.7,0.1
